State,Year,GDP 
RI,2004,4.0
RI,2005,1.7
RI,2006,3.0
RI,2007,2.7
RI,2008,1.7
RI,2009,1.1
RI,2010,2.7
RI,2011,0.1
RI,2012,0.6
RI,2013,0.6
RI,2014,0.7
RI,2015,1.0
RI,2016,0.2
RI,2017,0.4
RI,2018,0.3
RI,2019,1.6
RI,2020,3.5
RI,2021,6.0
SC,1999,4.7
SC,2000,2.8
SC,2001,0.6
SC,2002,2.8
SC,2003,3.9
SC,2004,1.7
SC,2005,3.3
SC,2006,2.3
SC,2007,2.9
SC,2008,1.1
SC,2009,4.4
SC,2010,1.9
SC,2011,2.3
SC,2012,0.9
SC,2013,1.8
SC,2014,2.8
SC,2015,3.2
SC,2016,3.1
SC,2017,2.3
SC,2018,2.3
SC,2019,3.0
SC,2020,2.3
SC,2021,6.2
SD,1999,3.9
SD,2000,7.0
SD,2001,0.2
SD,2002,11.3
SD,2003,0.6
SD,2004,3.9
SD,2005,4.6
SD,2006,1.4
SD,2007,3.9
SD,2008,3.5
SD,2009,2.3
SD,2010,1.0
SD,2011,6.6
SD,2012,2.0
SD,2013,0.6
SD,2014,1.6
SD,2015,1.8
SD,2016,0.9
SD,2017,0.7
SD,2018,1.1
SD,2019,0.8
SD,2020,1.6
SD,2021,4.5
TN,1999,3.2
TN,2000,1.2
TN,2001,0.2
TN,2002,3.3
TN,2003,3.3
TN,2004,4.6
TN,2005,3.0
TN,2006,2.4
TN,2007,0.6
TN,2008,0.5
TN,2009,3.6
TN,2010,1.4
TN,2011,3.1
TN,2012,3.4
TN,2013,1.2
TN,2014,1.5
TN,2015,3.5
TN,2016,1.9
TN,2017,2.8
TN,2018,1.4
TN,2019,2.4
TN,2020,2.3
TN,2021,9.0
TX,1999,3.9
TX,2000,3.6
TX,2001,2.5
TX,2002,2.3
TX,2003,0.7
TX,2004,5.6
TX,2005,2.9
TX,2006,7.6
TX,2007,4.7
TX,2008,0.3
TX,2009,0.4
TX,2010,2.6
TX,2011,3.3
TX,2012,5.0
TX,2013,4.5
TX,2014,3.0
TX,2015,5.0
TX,2016,0.9
TX,2017,2.4
TX,2018,4.1
TX,2019,3.0
TX,2020,1.8
TX,2021,3.9
UT,1999,4.1
UT,2000,3.6
UT,2001,1.1
UT,2002,2.0
UT,2003,1.7
UT,2004,6.0
UT,2005,7.0
UT,2006,7.7
UT,2007,4.5
UT,2008,0.3
UT,2009,2.2
UT,2010,2.0
UT,2011,3.3
UT,2012,1.2
UT,2013,2.8
UT,2014,2.9
UT,2015,3.5
UT,2016,4.4
UT,2017,4.6
UT,2018,6.4
UT,2019,4.5
UT,2020,1.7
UT,2021,6.8
VT,1999,5.6
VT,2000,5.4
VT,2001,3.2
VT,2002,3.4
VT,2003,3.6
VT,2004,5.5
VT,2005,0.5
VT,2006,0.5
VT,2007,0.9
VT,2008,3.2
VT,2009,1.9
VT,2010,4.3
VT,2011,2.1
VT,2012,0.8
VT,2013,1.9
VT,2014,0.8
VT,2015,0.7
VT,2016,1.0
VT,2017,0.3
VT,2018,0.4
VT,2019,1.1
VT,2020,2.9
VT,2021,5.1
VA,1999,5.5
VA,2000,4.8
VA,2001,3.5
VA,2002,1.2
VA,2003,3.5
VA,2004,4.0
VA,2005,4.9
VA,2006,1.9
VA,2007,1.2
VA,2008,1.5
VA,2009,0.8
VA,2010,3.2
VA,2011,0.7
VA,2012,0.4
VA,2013,0.7
VA,2014,0.3
VA,2015,1.7
VA,2016,1.1
VA,2017,1.6
VA,2018,2.3
VA,2019,2.4
VA,2020,2.1
VA,2021,5.5
WA,1999,7.2
WA,2000,0.7
WA,2001,2.4
WA,2002,1.3
WA,2003,1.6
WA,2004,2.3
WA,2005,6.4
WA,2006,3.8
WA,2007,5.6
WA,2008,2.2
WA,2009,2.9
WA,2010,2.9
WA,2011,1.8
WA,2012,3.3
WA,2013,2.6
WA,2014,3.3
WA,2015,4.1
WA,2016,3.7
WA,2017,5.2
WA,2018,6.9
WA,2019,3.5
WA,2020,1.1
WA,2021,6.7
WV,1999,3.2
WV,2000,0.2
WV,2001,0.2
WV,2002,1.6
WV,2003,0.5
WV,2004,1.6
WV,2005,2.4
WV,2006,1.8
WV,2007,0.4
WV,2008,2.0
WV,2009,0.4
WV,2010,1.4
WV,2011,1.7
WV,2012,0.1
WV,2013,0.3
WV,2014,0.0
WV,2015,0.2
WV,2016,0.9
WV,2017,2.0
WV,2018,2.4
WV,2019,0.7
WV,2020,3.0
WV,2021,1.3
WI,1999,4.1
WI,2000,2.9
WI,2001,1.6
WI,2002,1.9
WI,2003,3.0
WI,2004,3.4
WI,2005,2.9
WI,2006,1.7
WI,2007,0.6
WI,2008,1.2
WI,2009,3.0
WI,2010,3.1
WI,2011,2.2
WI,2012,1.6
WI,2013,0.3
WI,2014,2.1
WI,2015,1.8
WI,2016,1.0
WI,2017,0.0
WI,2018,2.4
WI,2019,1.5
WI,2020,3.5
WI,2021,4.6
WY,1999,4.2
WY,2000,3.1
WY,2001,6.2
WY,2002,2.2
WY,2003,3.0
WY,2004,3.3
WY,2005,5.6
WY,2006,12.9
WY,2007,7.5
WY,2008,5.5
WY,2009,3.1
WY,2010,3.6
WY,2011,0.7
WY,2012,2.3
WY,2013,0.0
WY,2014,1.8
WY,2015,2.2
WY,2016,5.5
WY,2017,1.7
WY,2018,1.5
WY,2019,1.0
WY,2020,5.7
WY,2021,0.4
